20mer,20,1000,982484168,1.140
20mer,20,2500,2530064958,2.951
20mer,20,3000,3036445128,3.527
20mer,20,4500,4626926038,5.370
20mer,20,7000,7109361188,8.310
20mer,20,8500,8905110578,10.325
20mer,20,10000,10597034218,12.327
spliced,56,1000,987060760,3.363
spliced,56,2500,2553110508,8.388
spliced,56,3000,3111468156,10.027
spliced,56,4500,4566475524,14.986
100test,100,1000,1102771378,4.395
100test,100,2500,2588762518,10.587
100test,100,3000,3178294428,12.737
100test,100,4500,4842096908,19.155
stmv,1058,1000,10432605516,160.270
