20mer,20,1000,986030645,.908
20mer,20,2500,2539200891,2.328
20mer,20,3000,3047409973,2.788
20mer,20,4500,4643635283,4.288
20mer,20,7000,7135036337,6.552
20mer,20,8500,8937271503,8.164
20mer,20,10000,10635305927,9.624
spliced,56,1000,990623717,2.640
spliced,56,2500,2562329625,6.608
spliced,56,3000,3122703913,7.892
spliced,56,4500,4582966385,11.792
spliced,56,7000,7037017457,18.220
spliced,56,8500,8599391211,22.072
spliced,56,10000,10034187443,26.216
